#Left panel: Reconstruction of fhat
#Forecast data
#z	fhat	fhat_error
0.150000	0.456179	0.023949
0.250000	0.468039	0.015211
0.350000	0.473758	0.012318
0.450000	0.474502	0.017889
0.650000	0.465313	0.007305
0.750000	0.457145	0.004617
0.850000	0.447513	0.004520
0.950000	0.436924	0.004326
1.050000	0.425769	0.004726
1.150000	0.414341	0.004723
1.250000	0.402857	0.004673
1.350000	0.391473	0.006772
1.450000	0.380300	0.007112
1.550000	0.369413	0.008386
1.650000	0.358862	0.012955
1.750000	0.348677	0.023745
1.850000	0.338875	0.023958

#Reconstruction at LSST redshift
#z	fhat	fhat_error
0.250000	0.467800	0.009415
0.380000	0.474164	0.006613
0.510000	0.473076	0.006017
0.650000	0.465532	0.004244
0.790000	0.453466	0.002533
0.950000	0.436833	0.002452
1.130000	0.416718	0.002246
1.350000	0.391489	0.003096
1.700000	0.353757	0.007803

#Spline reconstruction
#z	fhat	fhat_error
0.000000	0.428521	0.038063
0.020202	0.433245	0.034486
0.040404	0.437675	0.031142
0.060606	0.441818	0.028027
0.080808	0.445680	0.025137
0.101010	0.449267	0.022467
0.121212	0.452586	0.020016
0.141414	0.455643	0.017780
0.161616	0.458445	0.015759
0.181818	0.460998	0.013951
0.202020	0.463309	0.012356
0.222222	0.465383	0.010974
0.242424	0.467228	0.009804
0.262626	0.468849	0.008841
0.282828	0.470254	0.008077
0.303030	0.471448	0.007497
0.323232	0.472438	0.007078
0.343434	0.473231	0.006791
0.363636	0.473832	0.006603
0.383838	0.474248	0.006482
0.404040	0.474486	0.006399
0.424242	0.474552	0.006332
0.444444	0.474452	0.006262
0.464646	0.474193	0.006177
0.484848	0.473782	0.006068
0.505051	0.473223	0.005930
0.525253	0.472525	0.005762
0.545455	0.471694	0.005564
0.565657	0.470735	0.005337
0.585859	0.469655	0.005084
0.606061	0.468462	0.004810
0.626263	0.467160	0.004520
0.646465	0.465756	0.004219
0.666667	0.464258	0.003916
0.686869	0.462671	0.003618
0.707071	0.461001	0.003333
0.727273	0.459256	0.003072
0.747475	0.457441	0.002843
0.767677	0.455563	0.002655
0.787879	0.453628	0.002514
0.808081	0.451644	0.002421
0.828283	0.449615	0.002373
0.848485	0.447549	0.002360
0.868687	0.445451	0.002370
0.888889	0.443329	0.002388
0.909091	0.441185	0.002406
0.929293	0.439020	0.002416
0.949495	0.436836	0.002416
0.969697	0.434633	0.002405
0.989899	0.432414	0.002385
1.010101	0.430178	0.002356
1.030303	0.427929	0.002323
1.050505	0.425666	0.002288
1.070707	0.423392	0.002256
1.090909	0.421107	0.002230
1.111111	0.418813	0.002215
1.131313	0.416510	0.002215
1.151515	0.414201	0.002230
1.171717	0.411887	0.002264
1.191919	0.409568	0.002316
1.212121	0.407247	0.002385
1.232323	0.404924	0.002468
1.252525	0.402600	0.002563
1.272727	0.400278	0.002666
1.292929	0.397957	0.002775
1.313131	0.395640	0.002886
1.333333	0.393328	0.002996
1.353535	0.391022	0.003105
1.373737	0.388723	0.003209
1.393939	0.386433	0.003310
1.414141	0.384152	0.003407
1.434343	0.381883	0.003503
1.454545	0.379626	0.003599
1.474747	0.377383	0.003702
1.494949	0.375154	0.003818
1.515152	0.372942	0.003953
1.535354	0.370747	0.004119
1.555556	0.368571	0.004325
1.575758	0.366415	0.004582
1.595960	0.364280	0.004901
1.616162	0.362168	0.005292
1.636364	0.360080	0.005764
1.656566	0.358017	0.006322
1.676768	0.355980	0.006972
1.696970	0.353971	0.007718
1.717172	0.351991	0.008562
1.737374	0.350041	0.009508
1.757576	0.348122	0.010557
1.777778	0.346237	0.011711
1.797980	0.344385	0.012972
1.818182	0.342569	0.014343
1.838384	0.340789	0.015824
1.858586	0.339047	0.017419
1.878788	0.337344	0.019130
1.898990	0.335682	0.020960
1.919192	0.334061	0.022910
1.939394	0.332483	0.024984
1.959596	0.330949	0.027183
1.979798	0.329461	0.029512
2.000000	0.328020	0.031973

#Standard prediction without a fifth force
#z	fhat
