#Constraints on Gamma with future surveys
#Reconstruction at LSST redshifts
#z	Gamma	Gamma_error
0.250000	0.009245	0.205340
0.380000	-0.005962	0.095557
0.510000	-0.006369	0.053336
0.650000	0.001127	0.064584
0.790000	0.005918	0.061408
0.950000	-0.002505	0.034160
1.130000	-0.002253	0.048496
1.350000	0.004651	0.052378
1.700000	-0.018262	0.263108

#Spline reconstruction
#z	Gamma	Gamma_err
0.000000	0.115809	0.661885
0.020202	0.101654	0.602421
0.040404	0.088828	0.548953
0.060606	0.077195	0.500572
0.080808	0.066638	0.456561
0.101010	0.057063	0.416347
0.121212	0.048388	0.379463
0.141414	0.040545	0.345524
0.161616	0.033473	0.314214
0.181818	0.027121	0.285268
0.202020	0.021441	0.258465
0.222222	0.016392	0.233621
0.242424	0.011937	0.210584
0.262626	0.008039	0.189230
0.282828	0.004667	0.169459
0.303030	0.001789	0.151197
0.323232	-0.000624	0.134395
0.343434	-0.002600	0.119029
0.363636	-0.004168	0.105102
0.383838	-0.005354	0.092652
0.404040	-0.006185	0.081747
0.424242	-0.006689	0.072486
0.444444	-0.006893	0.064987
0.464646	-0.006823	0.059348
0.484848	-0.006507	0.055598
0.505051	-0.005972	0.053636
0.525253	-0.005248	0.053212
0.545455	-0.004365	0.053970
0.565657	-0.003356	0.055521
0.585859	-0.002254	0.057506
0.606061	-0.001092	0.059630
0.626263	0.000094	0.061661
0.646465	0.001270	0.063424
0.666667	0.002399	0.064790
0.686869	0.003445	0.065659
0.707071	0.004372	0.065960
0.727273	0.005143	0.065636
0.747475	0.005718	0.064645
0.767677	0.006060	0.062961
0.787879	0.006126	0.060568
0.808081	0.005877	0.057475
0.828283	0.005270	0.053720
0.848485	0.004266	0.049392
0.868687	0.002821	0.044674
0.888889	0.001115	0.040147
0.909091	-0.000317	0.036711
0.929293	-0.001471	0.034487
0.949495	-0.002370	0.033475
0.969697	-0.003034	0.033552
0.989899	-0.003483	0.034499
1.010101	-0.003736	0.036059
1.030303	-0.003810	0.037986
1.050505	-0.003725	0.040079
1.070707	-0.003497	0.042182
1.090909	-0.003147	0.044180
1.111111	-0.002691	0.045993
1.131313	-0.002148	0.047564
1.151515	-0.001537	0.048856
1.171717	-0.000873	0.049851
1.191919	-0.000172	0.050548
1.212121	0.000549	0.050961
1.232323	0.001275	0.051124
1.252525	0.001989	0.051091
1.272727	0.002675	0.050942
1.292929	0.003316	0.050792
1.313131	0.003895	0.050788
1.333333	0.004395	0.051117
1.353535	0.004799	0.051998
1.373737	0.005090	0.053667
1.393939	0.005255	0.056350
1.414141	0.005280	0.060235
1.434343	0.005150	0.065455
1.454545	0.004851	0.072077
1.474747	0.004370	0.080123
1.494949	0.003692	0.089582
1.515152	0.002801	0.100428
1.535354	0.001684	0.112634
1.555556	0.000324	0.126177
1.575758	-0.001292	0.141041
1.595960	-0.003181	0.157218
1.616162	-0.005359	0.174707
1.636364	-0.007841	0.193514
1.656566	-0.010643	0.213650
1.676768	-0.013782	0.235130
1.696970	-0.017274	0.257974
1.717172	-0.021136	0.282204
1.737374	-0.025384	0.307846
1.757576	-0.030037	0.334925
1.777778	-0.035111	0.363472
1.797980	-0.040623	0.393516
1.818182	-0.046592	0.425088
1.838384	-0.053036	0.458223
1.858586	-0.059971	0.492952
1.878788	-0.067418	0.529311
1.898990	-0.075393	0.567335
1.919192	-0.083916	0.607058
1.939394	-0.093005	0.648517
1.959596	-0.102679	0.691749
1.979798	-0.112957	0.736791
2.000000	-0.123857	0.783679
