#Left panel: Reconstruction of fhat.
#Measured data
#z	fhat	fhat_error
0.001000	0.505000	0.085000
0.020000	0.428000	0.046500
0.020000	0.398000	0.065000
0.020000	0.314000	0.048000
0.150000	0.530000	0.160000
0.170000	0.510000	0.060000
0.180000	0.360000	0.090000
0.380000	0.440000	0.060000
0.380000	0.497000	0.045000
0.510000	0.459000	0.038000
0.700000	0.473000	0.041000
0.850000	0.315000	0.095000
0.600000	0.550000	0.120000
0.860000	0.400000	0.110000
1.400000	0.482000	0.116000
0.440000	0.413000	0.080000
0.600000	0.390000	0.063000
0.730000	0.437000	0.072000
0.978000	0.379000	0.176000
1.230000	0.385000	0.099000
1.526000	0.342000	0.070000
1.944000	0.364000	0.106000

#Spline reconstruction with 4 knots
#z	fhat	fhat_error
0.000000	0.396087	0.028785
0.020202	0.402528	0.026627
0.040404	0.408608	0.024754
0.060606	0.414333	0.023165
0.080808	0.419711	0.021853
0.101010	0.424749	0.020805
0.121212	0.429454	0.020004
0.141414	0.433833	0.019424
0.161616	0.437893	0.019036
0.181818	0.441642	0.018808
0.202020	0.445086	0.018707
0.222222	0.448233	0.018702
0.242424	0.451090	0.018765
0.262626	0.453664	0.018871
0.282828	0.455963	0.019003
0.303030	0.457992	0.019142
0.323232	0.459760	0.019279
0.343434	0.461274	0.019404
0.363636	0.462540	0.019512
0.383838	0.463566	0.019601
0.404040	0.464360	0.019671
0.424242	0.464927	0.019721
0.444444	0.465276	0.019756
0.464646	0.465413	0.019779
0.484848	0.465346	0.019797
0.505051	0.465081	0.019814
0.525253	0.464626	0.019840
0.545455	0.463989	0.019880
0.565657	0.463175	0.019944
0.585859	0.462193	0.020038
0.606061	0.461049	0.020171
0.626263	0.459751	0.020351
0.646465	0.458306	0.020582
0.666667	0.456720	0.020872
0.686869	0.455002	0.021224
0.707071	0.453157	0.021641
0.727273	0.451194	0.022125
0.747475	0.449119	0.022676
0.767677	0.446940	0.023293
0.787879	0.444664	0.023973
0.808081	0.442297	0.024714
0.828283	0.439848	0.025510
0.848485	0.437322	0.026359
0.868687	0.434728	0.027253
0.888889	0.432073	0.028189
0.909091	0.429362	0.029159
