#Constraint on Gamma with future data
#Measurement at LSST redshifts, 5 knots
#z	Gamma	Gamma_error
0.250000	1.009245	0.205340
0.380000	0.994038	0.095557
0.510000	0.993631	0.053336
0.650000	1.001127	0.064584
0.790000	1.005918	0.061408
0.950000	0.997495	0.034160
1.130000	0.997747	0.048496
1.350000	1.004651	0.052378
1.700000	0.981738	0.263108
2.100000	0.810827	1.055611

#Measurement at LSST redshifts, 4 knots
#z	Gamma	Gamma_error
0.250000	1.100978	0.119916
0.380000	1.023625	0.077708
0.510000	0.983907	0.050108
0.650000	0.970114	0.034503
0.790000	0.975850	0.031830
0.950000	0.994706	0.033994
1.130000	1.016649	0.032612
1.350000	1.019330	0.044860
1.700000	0.886161	0.192707
2.100000	0.342950	0.601240
